"","latitude","longitude","neighbourhood_group","room_type","price","minimum_nights"
"1",40.64749,-73.97237,"Brooklyn","Private room",149,1
"2",40.75362,-73.98377,"Manhattan","Entire home/apt",225,1
"3",40.80902,-73.9419,"Manhattan","Private room",150,3
"4",40.68514,-73.95976,"Brooklyn","Entire home/apt",89,1
"5",40.79851,-73.94399,"Manhattan","Entire home/apt",80,10
"6",40.74767,-73.975,"Manhattan","Entire home/apt",200,3
"7",40.68688,-73.95596,"Brooklyn","Private room",60,45
"8",40.76489,-73.98493,"Manhattan","Private room",79,2
"9",40.80178,-73.96723,"Manhattan","Private room",79,2
"10",40.71344,-73.99037,"Manhattan","Entire home/apt",150,1
"11",40.80316,-73.96545,"Manhattan","Entire home/apt",135,5
"12",40.76076,-73.98867,"Manhattan","Private room",85,2
"13",40.66829,-73.98779,"Brooklyn","Private room",89,4
"14",40.79826,-73.96113,"Manhattan","Private room",85,2
"15",40.7353,-74.00525,"Manhattan","Entire home/apt",120,90
"16",40.70837,-73.95352,"Brooklyn","Entire home/apt",140,2
"17",40.69169,-73.97185,"Brooklyn","Entire home/apt",215,2
"18",40.74192,-73.99501,"Manhattan","Private room",140,1
"19",40.67592,-73.94694,"Brooklyn","Entire home/apt",99,3
"20",40.79685,-73.94872,"Manhattan","Entire home/apt",190,7
"21",40.71842,-73.95718,"Brooklyn","Entire home/apt",299,3
"22",40.68069,-73.97706,"Brooklyn","Private room",130,2
"23",40.67989,-73.97798,"Brooklyn","Private room",80,1
"24",40.68001,-73.97865,"Brooklyn","Private room",110,2
"25",40.68371,-73.94028,"Brooklyn","Entire home/apt",120,2
"26",40.65599,-73.97519,"Brooklyn","Private room",60,1
"27",40.86754,-73.92639,"Manhattan","Private room",80,4
"28",40.76715,-73.98533,"Manhattan","Entire home/apt",150,10
"29",40.86482,-73.92106,"Manhattan","Private room",44,3
"30",40.7292,-73.98542,"Manhattan","Entire home/apt",180,14
"31",40.82245,-73.95104,"Manhattan","Private room",50,3
"32",40.81305,-73.95466,"Manhattan","Private room",52,2
"33",40.72219,-73.93762,"Brooklyn","Private room",55,4
"34",40.8213,-73.95318,"Manhattan","Private room",50,3
"35",40.6831,-73.95473,"Brooklyn","Private room",70,1
"36",40.66869,-73.9878,"Brooklyn","Private room",89,4
"37",40.68876,-73.94312,"Brooklyn","Private room",35,60
"38",40.70186,-73.92745,"Brooklyn","Entire home/apt",85,2
"39",40.63702,-73.96327,"Brooklyn","Private room",150,1
"40",40.71401,-73.98917,"Manhattan","Shared room",40,1
"41",40.7229,-73.98199,"Manhattan","Private room",68,2
"42",40.66278,-73.97966,"Brooklyn","Entire home/apt",120,3
"43",40.69673,-73.97584,"Brooklyn","Private room",120,7
"44",40.79009,-73.97927,"Manhattan","Private room",135,4
"45",40.81175,-73.94478,"Manhattan","Entire home/apt",150,7
"46",40.65944,-73.96238,"Brooklyn","Entire home/apt",150,29
"47",40.74771,-73.9474,"Queens","Private room",130,3
"48",40.68111,-73.95591,"Brooklyn","Entire home/apt",110,7
"49",40.68554,-73.9409,"Brooklyn","Entire home/apt",115,3
"50",40.69142,-73.97376,"Brooklyn","Private room",80,3
"51",40.68043,-73.93934,"Brooklyn","Private room",80,1
"52",40.78635,-73.97008,"Manhattan","Entire home/apt",151,2
"53",40.7042,-73.9356,"Brooklyn","Entire home/apt",228,3
"54",40.73506,-73.95392,"Brooklyn","Entire home/apt",144,2
"55",40.73961,-73.98074,"Manhattan","Entire home/apt",200,7
"56",40.70881,-73.9593,"Brooklyn","Entire home/apt",150,30
"57",40.72004,-73.99104,"Manhattan","Private room",110,5
"58",40.75531,-73.99293,"Manhattan","Private room",69,2
"59",40.72401,-73.93788,"Brooklyn","Private room",49,4
"60",40.7221,-73.99775,"Manhattan","Entire home/apt",180,30
"61",40.71185,-73.96204,"Brooklyn","Private room",80,2
"62",40.74623,-73.9953,"Manhattan","Entire home/apt",375,180
"63",40.77065,-73.95269,"Manhattan","Entire home/apt",250,2
"64",40.67811,-73.96428,"Brooklyn","Entire home/apt",200,30
"65",40.69,-73.96788,"Brooklyn","Private room",55,7
"66",40.75979,-73.99119,"Manhattan","Private room",52,30
"67",40.67343,-73.98338,"Brooklyn","Entire home/apt",225,3
"68",40.72649,-73.97904,"Manhattan","Private room",80,1
"69",40.70933,-73.96792,"Brooklyn","Entire home/apt",275,1
"70",40.72298,-73.98474,"Manhattan","Private room",99,1
"71",40.80164,-73.93922,"Manhattan","Entire home/apt",225,4
